sensor_type	meter	date_ymd	mean	std	var	n
DO	1.52	2024-04-30	10.2239236111111	0.0461875289469499	0.00213328783022533	144
DO	1.52	2024-05-01	10.0764027777778	0.0571063686018234	0.00326113733488732	144
DO	1.52	2024-05-02	9.89101388888889	0.0860434908824154	0.00740348232323231	144
DO	1.52	2024-05-03	9.89995833333333	0.062892946562176	0.00395552272727272	144
DO	1.52	2024-05-04	9.68684027777778	0.0400586393944189	0.00160469459013209	144
DO	1.52	2024-05-05	9.56149305555556	0.0322802406659468	0.00104201393745144	144
DO	1.52	2024-05-06	9.55885416666667	0.0342830604565248	0.00117532823426573	144
DO	1.52	2024-05-07	9.58615972222222	0.0913146150722677	0.00833835892579642	144
DO	1.52	2024-05-08	9.43076388888889	0.128031026949306	0.0163919438616939	144
DO	1.52	2024-05-09	9.35152777777778	0.191038016369841	0.0364955236985237	144
DO	1.52	2024-05-10	9.28774305555556	0.0560152010497173	0.00313770274864025	144
DO	1.52	2024-05-11	9.32124305555556	0.0456358720588346	0.00208263281857032	144
DO	1.52	2024-05-12	9.27155555555556	0.0301387880039417	0.000908346542346538	144
DO	1.52	2024-05-13	9.31319444444444	0.080058219879776	0.00640931857031856	144
DO	1.52	2024-05-14	9.28136805555556	0.0367605646348992	0.0013513391122766	144
DO	1.52	2024-05-15	9.17875	0.0439860912536705	0.00193477622377623	144
DO	1.52	2024-05-16	9.25079166666667	0.082412053144528	0.00679174650349651	144
DO	1.52	2024-05-17	9.24372222222222	0.0339164841091746	0.00115032789432789	144
DO	1.52	2024-05-18	9.14815277777778	0.0460614243961779	0.00212165481740482	144
DO	1.52	2024-05-19	9.07839583333333	0.0773006317880079	0.00597538767482518	144
DO	1.52	2024-05-20	8.98090972222222	0.0755713818252072	0.00571103375097126	144
DO	1.52	2024-05-21	8.85523611111111	0.102083675133817	0.0104210767288267	144
DO	1.52	2024-05-22	8.6771875	0.0525753496907524	0.0027641673951049	144
DO	1.52	2024-05-23	8.44661805555556	0.0722774371672476	0.00522402792346543	144
DO	1.52	2024-05-24	8.39656944444445	0.0468414455143201	0.00219412101787102	144
DO	1.52	2024-05-25	8.25428472222222	0.0876264850592467	0.00767840088383838	144
DO	1.52	2024-05-26	8.24221527777778	0.137904657608552	0.0190176945901321	144
DO	1.52	2024-05-27	8.26009027777778	0.0414127971158345	0.00171501976495727	144
DO	1.52	2024-05-28	8.17851388888889	0.0584917645402882	0.00342128651903651	144
DO	1.52	2024-05-29	8.19910416666667	0.0541810896164701	0.00293559047202797	144
DO	1.52	2024-05-30	8.21845833333333	0.100444179606303	0.0100890332167832	144
DO	1.52	2024-05-31	8.32842361111111	0.111177711949928	0.0123604836344211	144
DO	1.52	2024-06-01	8.36543055555556	0.0888420184071379	0.00789290423465423	144
DO	1.52	2024-06-02	8.37079861111111	0.0957370802224824	0.00916558852952604	144
DO	1.52	2024-06-03	8.42204166666667	0.14119023892052	0.0199346835664336	144
DO	1.52	2024-06-04	8.31728472222222	0.0857550311023375	0.00735392535936286	144
DO	1.52	2024-06-05	8.20336805555556	0.0744692874721672	0.00554567477661228	144
DO	1.52	2024-06-06	8.01285416666667	0.147447227432809	0.0217406848776224	144
DO	1.52	2024-06-07	7.90764583333333	0.0987540894966264	0.00975237019230769	144
DO	1.52	2024-06-08	7.94302083333333	0.0622742040175062	0.00387807648601399	144
DO	1.52	2024-06-09	8.01913194444444	0.0985045699502708	0.0097031503010878	144
DO	1.52	2024-06-10	8.12878472222222	0.065041048167872	0.00423033794677545	144
DO	1.52	2024-06-11	8.13106944444444	0.125569564080893	0.0157677154234654	144
DO	1.52	2024-06-12	8.23819444444444	0.157393777157171	0.0247728010878011	144
DO	1.52	2024-06-13	8.35390277777778	0.0982464661151642	0.00965236810411811	144
DO	1.52	2024-06-14	8.27771527777778	0.0785913270535254	0.00617659668803419	144
DO	1.52	2024-06-15	8.33375694444444	0.103274516825611	0.0106656258255633	144
DO	1.52	2024-06-16	8.34413888888889	0.0949153182469386	0.00900891763791764	144
DO	1.52	2024-06-17	8.42125	0.0595988337052075	0.00355202097902098	144
DO	1.52	2024-06-18	8.28992361111111	0.178105142195219	0.0317214416763792	144
DO	1.52	2024-06-19	8.29623611111111	0.164956700659485	0.0272107130924631	144
DO	1.52	2024-06-20	8.22980555555556	0.146400412595323	0.0214330808080808	144
DO	1.52	2024-06-21	8.31586805555555	0.147419113605843	0.0217323950563326	144
DO	1.52	2024-06-22	7.93261111111111	0.127071705494254	0.0161472183372183	144
DO	1.52	2024-06-23	7.92042361111111	0.0458687058883907	0.00210393817987569	144
DO	1.52	2024-06-24	7.76096527777778	0.0537461546120896	0.00288864913558664	144
DO	1.52	2024-06-25	7.8791875	0.180686026361691	0.0326474401223776	144
DO	1.52	2024-06-26	7.97985416666667	0.0592937417834742	0.00351574781468531	144
DO	1.52	2024-06-27	7.93925694444444	0.0672979749617693	0.00452901743395493	144
DO	1.52	2024-06-28	8.01570833333333	0.117001576404418	0.0136893688811189	144
DO	1.52	2024-06-29	8.10236805555556	0.051594539003018	0.00266199645493395	144
DO	1.52	2024-06-30	8.13870833333333	0.109505683666396	0.0119914947552447	144
DO	1.52	2024-07-01	8.1715	0.132383264317393	0.0175253286713287	144
DO	1.52	2024-07-02	8.16693055555556	0.128904401763845	0.0166163447940948	144
DO	1.52	2024-07-03	8.25440277777778	0.116059926614041	0.0134699065656566	144
DO	1.52	2024-07-04	8.11643055555555	0.0912373108546985	0.00832424689199689	144
DO	1.52	2024-07-06	8.04001388888889	0.104444918806475	0.0109087410644911	144
